Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,435,1,99.77%
obstacle,436,391,45,89.68%
decision,436,410,26,94.04%
final_decision,436,410,26,94.04%

lane:left lane,214,214,0,100.00%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,78,20,79.59%
obstacle:near,78,67,11,85.90%
obstacle:very close,62,51,11,82.26%
obstacle:not on the same lane,198,195,3,98.48%
decision:straight forward,296,292,4,98.65%
decision:slow cruise,78,67,11,85.90%
decision:switch lane,62,51,11,82.26%
final_decision:straight forward,296,292,4,98.65%
final_decision:slow cruise,78,67,11,85.90%
final_decision:switch lane,62,51,11,82.26%
