Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,203,13,93.98%
obstacle,216,173,43,80.09%
decision,216,177,39,81.94%
final_decision,216,177,39,81.94%

lane:left lane,91,88,3,96.70%
lane:right lane,91,83,8,91.21%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,54,16,77.14%
obstacle:near,56,43,13,76.79%
obstacle:very close,14,0,14,0.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,134,12,91.78%
decision:slow cruise,56,43,13,76.79%
decision:switch lane,14,0,14,0.00%
final_decision:straight forward,146,134,12,91.78%
final_decision:slow cruise,56,43,13,76.79%
final_decision:switch lane,14,0,14,0.00%
