Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,206,10,95.37%
obstacle,216,198,18,91.67%
decision,216,198,18,91.67%
final_decision,216,198,18,91.67%

lane:left lane,91,88,3,96.70%
lane:right lane,91,87,4,95.60%
lane:unclear,34,31,3,91.18%
obstacle:far away,70,60,10,85.71%
obstacle:near,56,50,6,89.29%
obstacle:very close,14,12,2,85.71%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,136,10,93.15%
decision:slow cruise,56,50,6,89.29%
decision:switch lane,14,12,2,85.71%
final_decision:straight forward,146,136,10,93.15%
final_decision:slow cruise,56,50,6,89.29%
final_decision:switch lane,14,12,2,85.71%
