Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,400,36,91.74%
decision,436,403,33,92.43%
final_decision,436,403,33,92.43%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,91,7,92.86%
obstacle:near,78,64,14,82.05%
obstacle:very close,62,47,15,75.81%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,292,4,98.65%
decision:slow cruise,78,64,14,82.05%
decision:switch lane,62,47,15,75.81%
final_decision:straight forward,296,292,4,98.65%
final_decision:slow cruise,78,64,14,82.05%
final_decision:switch lane,62,47,15,75.81%
