Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,204,12,94.44%
obstacle,216,189,27,87.50%
decision,216,190,26,87.96%
final_decision,216,190,26,87.96%

lane:left lane,91,87,4,95.60%
lane:right lane,91,85,6,93.41%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,58,12,82.86%
obstacle:near,56,55,1,98.21%
obstacle:very close,14,0,14,0.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,135,11,92.47%
decision:slow cruise,56,55,1,98.21%
decision:switch lane,14,0,14,0.00%
final_decision:straight forward,146,135,11,92.47%
final_decision:slow cruise,56,55,1,98.21%
final_decision:switch lane,14,0,14,0.00%
