Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,432,4,99.08%
obstacle,436,384,52,88.07%
decision,436,400,36,91.74%
final_decision,436,400,36,91.74%

lane:left lane,214,213,1,99.53%
lane:right lane,214,211,3,98.60%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,79,19,80.61%
obstacle:near,78,55,23,70.51%
obstacle:very close,62,52,10,83.87%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,293,3,98.99%
decision:slow cruise,78,55,23,70.51%
decision:switch lane,62,52,10,83.87%
final_decision:straight forward,296,293,3,98.99%
final_decision:slow cruise,78,55,23,70.51%
final_decision:switch lane,62,52,10,83.87%
