Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,407,29,93.35%
decision,436,411,25,94.27%
final_decision,436,411,25,94.27%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,88,10,89.80%
obstacle:near,78,72,6,92.31%
obstacle:very close,62,49,13,79.03%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,290,6,97.97%
decision:slow cruise,78,72,6,92.31%
decision:switch lane,62,49,13,79.03%
final_decision:straight forward,296,290,6,97.97%
final_decision:slow cruise,78,72,6,92.31%
final_decision:switch lane,62,49,13,79.03%
