Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,432,4,99.08%
obstacle,436,407,29,93.35%
decision,436,408,28,93.58%
final_decision,436,408,28,93.58%

lane:left lane,214,213,1,99.53%
lane:right lane,214,211,3,98.60%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,94,4,95.92%
obstacle:near,78,66,12,84.62%
obstacle:very close,62,49,13,79.03%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,293,3,98.99%
decision:slow cruise,78,66,12,84.62%
decision:switch lane,62,49,13,79.03%
final_decision:straight forward,296,293,3,98.99%
final_decision:slow cruise,78,66,12,84.62%
final_decision:switch lane,62,49,13,79.03%
