Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,203,13,93.98%
obstacle,216,195,21,90.28%
decision,216,198,18,91.67%
final_decision,216,198,18,91.67%

lane:left lane,91,84,7,92.31%
lane:right lane,91,86,5,94.51%
lane:unclear,34,33,1,97.06%
obstacle:far away,70,53,17,75.71%
obstacle:near,56,54,2,96.43%
obstacle:very close,14,12,2,85.71%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,132,14,90.41%
decision:slow cruise,56,54,2,96.43%
decision:switch lane,14,12,2,85.71%
final_decision:straight forward,146,132,14,90.41%
final_decision:slow cruise,56,54,2,96.43%
final_decision:switch lane,14,12,2,85.71%
