Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,397,39,91.06%
decision,436,414,22,94.95%
final_decision,436,414,22,94.95%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,83,15,84.69%
obstacle:near,78,67,11,85.90%
obstacle:very close,62,53,9,85.48%
obstacle:not on the same lane,198,194,4,97.98%
decision:straight forward,296,294,2,99.32%
decision:slow cruise,78,67,11,85.90%
decision:switch lane,62,53,9,85.48%
final_decision:straight forward,296,294,2,99.32%
final_decision:slow cruise,78,67,11,85.90%
final_decision:switch lane,62,53,9,85.48%
