Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,197,19,91.20%
obstacle,216,179,37,82.87%
decision,216,187,29,86.57%
final_decision,216,187,29,86.57%

lane:left lane,91,83,8,91.21%
lane:right lane,91,89,2,97.80%
lane:unclear,34,25,9,73.53%
obstacle:far away,70,53,17,75.71%
obstacle:near,56,42,14,75.00%
obstacle:very close,14,9,5,64.29%
obstacle:not on the same lane,76,75,1,98.68%
decision:straight forward,146,137,9,93.84%
decision:slow cruise,56,41,15,73.21%
decision:switch lane,14,9,5,64.29%
final_decision:straight forward,146,137,9,93.84%
final_decision:slow cruise,56,41,15,73.21%
final_decision:switch lane,14,9,5,64.29%
