Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,204,12,94.44%
obstacle,216,191,25,88.43%
decision,216,192,24,88.89%
final_decision,216,192,24,88.89%

lane:left lane,91,85,6,93.41%
lane:right lane,91,87,4,95.60%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,51,19,72.86%
obstacle:near,56,50,6,89.29%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,128,18,87.67%
decision:slow cruise,56,50,6,89.29%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,128,18,87.67%
final_decision:slow cruise,56,50,6,89.29%
final_decision:switch lane,14,14,0,100.00%
