Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,205,11,94.91%
obstacle,216,202,14,93.52%
decision,216,203,13,93.98%
final_decision,216,203,13,93.98%

lane:left lane,91,87,4,95.60%
lane:right lane,91,88,3,96.70%
lane:unclear,34,30,4,88.24%
obstacle:far away,70,58,12,82.86%
obstacle:near,56,55,1,98.21%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,75,1,98.68%
decision:straight forward,146,134,12,91.78%
decision:slow cruise,56,55,1,98.21%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,134,12,91.78%
final_decision:slow cruise,56,55,1,98.21%
final_decision:switch lane,14,14,0,100.00%
