Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,195,21,90.28%
obstacle,216,164,52,75.93%
decision,216,185,31,85.65%
final_decision,216,185,31,85.65%

lane:left lane,91,88,3,96.70%
lane:right lane,91,82,9,90.11%
lane:unclear,34,25,9,73.53%
obstacle:far away,70,38,32,54.29%
obstacle:near,56,45,11,80.36%
obstacle:very close,14,5,9,35.71%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,135,11,92.47%
decision:slow cruise,56,45,11,80.36%
decision:switch lane,14,5,9,35.71%
final_decision:straight forward,146,135,11,92.47%
final_decision:slow cruise,56,45,11,80.36%
final_decision:switch lane,14,5,9,35.71%
