Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,403,33,92.43%
decision,436,411,25,94.27%
final_decision,436,411,25,94.27%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,88,10,89.80%
obstacle:near,78,65,13,83.33%
obstacle:very close,62,52,10,83.87%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,294,2,99.32%
decision:slow cruise,78,65,13,83.33%
decision:switch lane,62,52,10,83.87%
final_decision:straight forward,296,294,2,99.32%
final_decision:slow cruise,78,65,13,83.33%
final_decision:switch lane,62,52,10,83.87%
