Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,421,15,96.56%
obstacle,436,388,48,88.99%
decision,436,418,18,95.87%
final_decision,436,418,18,95.87%

lane:left lane,214,213,1,99.53%
lane:right lane,214,203,11,94.86%
lane:unclear,8,5,3,62.50%
obstacle:far away,98,66,32,67.35%
obstacle:near,78,66,12,84.62%
obstacle:very close,62,58,4,93.55%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,294,2,99.32%
decision:slow cruise,78,66,12,84.62%
decision:switch lane,62,58,4,93.55%
final_decision:straight forward,296,294,2,99.32%
final_decision:slow cruise,78,66,12,84.62%
final_decision:switch lane,62,58,4,93.55%
