Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,387,49,88.76%
decision,436,403,33,92.43%
final_decision,436,403,33,92.43%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,80,18,81.63%
obstacle:near,78,62,16,79.49%
obstacle:very close,62,51,11,82.26%
obstacle:not on the same lane,198,194,4,97.98%
decision:straight forward,296,290,6,97.97%
decision:slow cruise,78,62,16,79.49%
decision:switch lane,62,51,11,82.26%
final_decision:straight forward,296,290,6,97.97%
final_decision:slow cruise,78,62,16,79.49%
final_decision:switch lane,62,51,11,82.26%
