Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,202,14,93.52%
obstacle,216,177,39,81.94%
decision,216,182,34,84.26%
final_decision,216,182,34,84.26%

lane:left lane,91,87,4,95.60%
lane:right lane,91,83,8,91.21%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,46,24,65.71%
obstacle:near,56,56,0,100.00%
obstacle:very close,14,4,10,28.57%
obstacle:not on the same lane,76,71,5,93.42%
decision:straight forward,146,122,24,83.56%
decision:slow cruise,56,56,0,100.00%
decision:switch lane,14,4,10,28.57%
final_decision:straight forward,146,122,24,83.56%
final_decision:slow cruise,56,56,0,100.00%
final_decision:switch lane,14,4,10,28.57%
