Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,402,34,92.20%
decision,436,404,32,92.66%
final_decision,436,404,32,92.66%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,93,5,94.90%
obstacle:near,78,62,16,79.49%
obstacle:very close,62,51,11,82.26%
obstacle:not on the same lane,198,196,2,98.99%
decision:straight forward,296,291,5,98.31%
decision:slow cruise,78,62,16,79.49%
decision:switch lane,62,51,11,82.26%
final_decision:straight forward,296,291,5,98.31%
final_decision:slow cruise,78,62,16,79.49%
final_decision:switch lane,62,51,11,82.26%
