Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,203,13,93.98%
obstacle,216,190,26,87.96%
decision,216,191,25,88.43%
final_decision,216,191,25,88.43%

lane:left lane,91,82,9,90.11%
lane:right lane,91,87,4,95.60%
lane:unclear,34,34,0,100.00%
obstacle:far away,70,53,17,75.71%
obstacle:near,56,48,8,85.71%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,75,1,98.68%
decision:straight forward,146,129,17,88.36%
decision:slow cruise,56,48,8,85.71%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,129,17,88.36%
final_decision:slow cruise,56,48,8,85.71%
final_decision:switch lane,14,14,0,100.00%
