Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,203,13,93.98%
obstacle,216,197,19,91.20%
decision,216,197,19,91.20%
final_decision,216,197,19,91.20%

lane:left lane,91,85,6,93.41%
lane:right lane,91,86,5,94.51%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,58,12,82.86%
obstacle:near,56,50,6,89.29%
obstacle:very close,14,13,1,92.86%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,134,12,91.78%
decision:slow cruise,56,50,6,89.29%
decision:switch lane,14,13,1,92.86%
final_decision:straight forward,146,134,12,91.78%
final_decision:slow cruise,56,50,6,89.29%
final_decision:switch lane,14,13,1,92.86%
