Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,191,25,88.43%
obstacle,216,185,31,85.65%
decision,216,186,30,86.11%
final_decision,216,186,30,86.11%

lane:left lane,91,77,14,84.62%
lane:right lane,91,89,2,97.80%
lane:unclear,34,25,9,73.53%
obstacle:far away,70,56,14,80.00%
obstacle:near,56,49,7,87.50%
obstacle:very close,14,4,10,28.57%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,133,13,91.10%
decision:slow cruise,56,49,7,87.50%
decision:switch lane,14,4,10,28.57%
final_decision:straight forward,146,133,13,91.10%
final_decision:slow cruise,56,49,7,87.50%
final_decision:switch lane,14,4,10,28.57%
