Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,210,6,97.22%
obstacle,216,187,29,86.57%
decision,216,188,28,87.04%
final_decision,216,188,28,87.04%

lane:left lane,91,89,2,97.80%
lane:right lane,91,89,2,97.80%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,51,19,72.86%
obstacle:near,56,46,10,82.14%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,128,18,87.67%
decision:slow cruise,56,46,10,82.14%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,128,18,87.67%
final_decision:slow cruise,56,46,10,82.14%
final_decision:switch lane,14,14,0,100.00%
