Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,202,14,93.52%
obstacle,216,188,28,87.04%
decision,216,188,28,87.04%
final_decision,216,188,28,87.04%

lane:left lane,91,85,6,93.41%
lane:right lane,91,84,7,92.31%
lane:unclear,34,33,1,97.06%
obstacle:far away,70,48,22,68.57%
obstacle:near,56,50,6,89.29%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,124,22,84.93%
decision:slow cruise,56,50,6,89.29%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,124,22,84.93%
final_decision:slow cruise,56,50,6,89.29%
final_decision:switch lane,14,14,0,100.00%
