Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,205,11,94.91%
obstacle,216,196,20,90.74%
decision,216,197,19,91.20%
final_decision,216,197,19,91.20%

lane:left lane,91,89,2,97.80%
lane:right lane,91,84,7,92.31%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,57,13,81.43%
obstacle:near,56,51,5,91.07%
obstacle:very close,14,12,2,85.71%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,134,12,91.78%
decision:slow cruise,56,51,5,91.07%
decision:switch lane,14,12,2,85.71%
final_decision:straight forward,146,134,12,91.78%
final_decision:slow cruise,56,51,5,91.07%
final_decision:switch lane,14,12,2,85.71%
