Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,205,11,94.91%
obstacle,216,195,21,90.28%
decision,216,196,20,90.74%
final_decision,216,196,20,90.74%

lane:left lane,91,87,4,95.60%
lane:right lane,91,86,5,94.51%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,57,13,81.43%
obstacle:near,56,50,6,89.29%
obstacle:very close,14,12,2,85.71%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,134,12,91.78%
decision:slow cruise,56,50,6,89.29%
decision:switch lane,14,12,2,85.71%
final_decision:straight forward,146,134,12,91.78%
final_decision:slow cruise,56,50,6,89.29%
final_decision:switch lane,14,12,2,85.71%
