Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,207,9,95.83%
obstacle,216,190,26,87.96%
decision,216,195,21,90.28%
final_decision,216,195,21,90.28%

lane:left lane,91,88,3,96.70%
lane:right lane,91,86,5,94.51%
lane:unclear,34,33,1,97.06%
obstacle:far away,70,54,16,77.14%
obstacle:near,56,52,4,92.86%
obstacle:very close,14,8,6,57.14%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,135,11,92.47%
decision:slow cruise,56,52,4,92.86%
decision:switch lane,14,8,6,57.14%
final_decision:straight forward,146,135,11,92.47%
final_decision:slow cruise,56,52,4,92.86%
final_decision:switch lane,14,8,6,57.14%
