Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,418,18,95.87%
decision,436,421,15,96.56%
final_decision,436,421,15,96.56%
lane:left lane,214,214,0,100.00%
lane:right lane,214,212,2,99.07%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,92,6,93.88%
obstacle:near,78,72,6,92.31%
obstacle:very close,62,57,5,91.94%
obstacle:not on the same lane,198,197,1,99.49%
decision:straight forward,296,292,4,98.65%
decision:slow cruise,78,72,6,92.31%
decision:switch lane,62,57,5,91.94%
final_decision:straight forward,296,292,4,98.65%
final_decision:slow cruise,78,72,6,92.31%
final_decision:switch lane,62,57,5,91.94%
