Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,203,13,93.98%
obstacle,216,182,34,84.26%
decision,216,186,30,86.11%
final_decision,216,186,30,86.11%

lane:left lane,91,85,6,93.41%
lane:right lane,91,84,7,92.31%
lane:unclear,34,34,0,100.00%
obstacle:far away,70,52,18,74.29%
obstacle:near,56,41,15,73.21%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,75,1,98.68%
decision:straight forward,146,131,15,89.73%
decision:slow cruise,56,41,15,73.21%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,131,15,89.73%
final_decision:slow cruise,56,41,15,73.21%
final_decision:switch lane,14,14,0,100.00%
