Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,409,27,93.81%
decision,436,409,27,93.81%
final_decision,436,409,27,93.81%
lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,87,11,88.78%
obstacle:near,78,63,15,80.77%
obstacle:very close,62,61,1,98.39%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,285,11,96.28%
decision:slow cruise,78,63,15,80.77%
decision:switch lane,62,61,1,98.39%
final_decision:straight forward,296,285,11,96.28%
final_decision:slow cruise,78,63,15,80.77%
final_decision:switch lane,62,61,1,98.39%
