Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,307,129,70.41%
obstacle,436,378,58,86.70%
decision,436,406,30,93.12%
lane:left lane,214,213,1,99.53%
lane:right lane,214,89,125,41.59%
lane:unclear,8,5,3,62.50%
obstacle:far away,98,61,37,62.24%
obstacle:near,78,66,12,84.62%
obstacle:very close,62,53,9,85.48%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,289,7,97.64%
decision:slow cruise,78,64,14,82.05%
decision:switch lane,62,53,9,85.48%
