Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,333,103,76.38%
obstacle,436,410,26,94.04%
decision,436,379,57,86.93%
lane:left lane,214,213,1,99.53%
lane:right lane,214,112,102,52.34%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,93,5,94.90%
obstacle:near,78,59,19,75.64%
obstacle:very close,62,60,2,96.77%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,291,5,98.31%
decision:slow cruise,78,28,50,35.90%
decision:switch lane,62,60,2,96.77%
