Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,335,101,76.83%
obstacle,436,424,12,97.25%
decision,436,421,15,96.56%
lane:left lane,214,213,1,99.53%
lane:right lane,214,114,100,53.27%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,98,0,100.00%
obstacle:near,78,70,8,89.74%
obstacle:very close,62,58,4,93.55%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,296,0,100.00%
decision:slow cruise,78,67,11,85.90%
decision:switch lane,62,58,4,93.55%
