Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,329,107,75.46%
obstacle,436,406,30,93.12%
decision,436,409,27,93.81%
lane:left lane,214,213,1,99.53%
lane:right lane,214,110,104,51.40%
lane:unclear,8,6,2,75.00%
obstacle:far away,98,79,19,80.61%
obstacle:near,78,70,8,89.74%
obstacle:very close,62,59,3,95.16%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,280,16,94.59%
decision:slow cruise,78,70,8,89.74%
decision:switch lane,62,59,3,95.16%
