Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,166,50,76.85%
obstacle,216,197,19,91.20%
decision,216,153,63,70.83%

lane:left lane,91,88,3,96.70%
lane:right lane,91,47,44,51.65%
lane:unclear,34,31,3,91.18%

obstacle:far away,70,60,10,85.71%
obstacle:near,56,47,9,83.93%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%

decision:straight forward,146,139,7,95.21%
decision:slow cruise,56,0,56,0.00%
decision:switch lane,14,14,0,100.00%

