Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,157,59,72.69%
obstacle,216,188,28,87.04%
decision,216,154,62,71.30%

lane:left lane,91,85,6,93.41%
lane:right lane,91,38,53,41.76%
lane:unclear,34,34,0,100.00%

obstacle:far away,70,61,9,87.14%
obstacle:near,56,39,17,69.64%
obstacle:very close,14,12,2,85.71%
obstacle:not on the same lane,76,76,0,100.00%

decision:straight forward,146,140,6,95.89%
decision:slow cruise,56,0,56,0.00%
decision:switch lane,14,14,0,100.00%

