Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,312,124,71.56%
obstacle,436,382,54,87.61%
decision,436,354,82,81.19%

lane:left lane,214,214,0,100.00%
lane:right lane,214,90,124,42.06%
lane:unclear,8,8,0,100.00%

obstacle:far away,98,75,23,76.53%
obstacle:near,78,77,1,98.72%
obstacle:very close,62,39,23,62.90%
obstacle:not on the same lane,198,191,7,96.46%

decision:straight forward,296,292,4,98.65%
decision:slow cruise,78,0,78,0.00%
decision:switch lane,62,62,0,100.00%

