Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,314,122,72.02%
obstacle,436,400,36,91.74%
decision,436,353,83,80.96%

lane:left lane,214,214,0,100.00%
lane:right lane,214,93,121,43.46%
lane:unclear,8,7,1,87.50%

obstacle:far away,98,74,24,75.51%
obstacle:near,78,71,7,91.03%
obstacle:very close,62,57,5,91.94%
obstacle:not on the same lane,198,198,0,100.00%

decision:straight forward,296,291,5,98.31%
decision:slow cruise,78,0,78,0.00%
decision:switch lane,62,62,0,100.00%

