Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,169,47,78.24%
obstacle,216,203,13,93.98%
decision,216,203,13,93.98%

lane:left lane,91,88,3,96.70%
lane:right lane,91,47,44,51.65%
lane:unclear,34,34,0,100.00%

obstacle:far away,70,64,6,91.43%
obstacle:near,56,49,7,87.50%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%

decision:straight forward,146,141,5,96.58%
decision:slow cruise,56,48,8,85.71%
decision:switch lane,14,14,0,100.00%

