Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,328,108,75.23%
obstacle,436,411,25,94.27%
decision,436,412,24,94.50%

lane:left lane,214,214,0,100.00%
lane:right lane,214,106,108,49.53%
lane:unclear,8,8,0,100.00%

obstacle:far away,98,95,3,96.94%
obstacle:near,78,61,17,78.21%
obstacle:very close,62,57,5,91.94%
obstacle:not on the same lane,198,198,0,100.00%

decision:straight forward,296,294,2,99.32%
decision:slow cruise,78,61,17,78.21%
decision:switch lane,62,57,5,91.94%

